ID,lon,lat,datetime
1,-143.6467039,31.01641431,2/28/03 18:11
1,-143.6459868,31.01550116,2/28/03 18:25
1,-143.6236496,30.98465119,3/1/03 1:51
1,-143.6211152,30.97962727,3/1/03 2:52
1,-143.6185706,30.97365511,3/1/03 4:00
1,-143.6081181,30.9338808,3/1/03 10:12
1,-143.6076329,30.93139866,3/1/03 10:32
1,-143.6006781,30.88665452,3/1/03 16:00
1,-143.6027164,30.77849355,3/2/03 4:00
1,-143.6536219,30.69452568,3/2/03 16:00
1,-143.6645009,30.68833039,3/2/03 17:26
1,-143.6744994,30.68398196,3/2/03 18:38
1,-143.7448114,30.67215074,3/3/03 2:32
1,-143.7557258,30.67237754,3/3/03 4:00
1,-143.7922746,30.67666266,3/3/03 9:50
1,-143.7950908,30.67707697,3/3/03 10:18
1,-143.8022729,30.67807819,3/3/03 11:28
1,-143.832547,30.68178887,3/3/03 16:00
1,-143.922417,30.69216534,3/4/03 4:00
1,-144.0054852,30.70752195,3/4/03 16:00
1,-144.0115494,30.7092827,3/4/03 17:03
1,-144.0180436,30.71138543,3/4/03 18:14
1,-144.0501494,30.73018541,3/5/03 2:07
1,-144.0548447,30.73569649,3/5/03 4:00
1,-144.0638446,30.75738177,3/5/03 10:43
1,-144.0643813,30.76069395,3/5/03 11:41
1,-144.0664446,30.7768686,3/5/03 16:00
1,-144.070428,30.83007272,3/6/03 4:00
1,-144.0722049,30.88525815,3/6/03 16:00
1,-144.0721795,30.92792572,3/7/03 3:27
1,-144.0721389,30.92952751,3/7/03 4:00
1,-144.0686214,30.94518012,3/7/03 10:23
1,-144.0558179,30.95606395,3/7/03 16:00
1,-144.0065032,30.97590176,3/8/03 4:00
1,-143.9551006,30.99909522,3/8/03 16:00
1,-143.947438,31.00508976,3/8/03 18:26
1,-143.9292615,31.03205946,3/9/03 4:00
1,-143.9204736,31.0485245,3/9/03 10:52
1,-143.9119716,31.05580399,3/9/03 16:00
1,-143.8864638,31.05932565,3/10/03 4:00
1,-143.8605695,31.05519628,3/10/03 16:00
1,-143.8577352,31.05481533,3/10/03 17:31
1,-143.8411815,31.05426395,3/11/03 4:00
1,-143.8312665,31.0536419,3/11/03 10:30
1,-143.8215321,31.05167174,3/11/03 16:00
